Depmap ID,"CRISPR (DepMap Public 24Q2+Score, Chronos)",Cell Line Name,Primary Disease,Lineage,Lineage Subtype,Expression Public 24Q2,Mutations_Prioritized
ACH-000906,0.2520763588878369,ES2,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.684678499882066,Other
ACH-000905,0.0888409862227,5637,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.371384613557957,Other
ACH-000903,0.08026688513855237,FTC133,Well-Differentiated Thyroid Cancer,Thyroid,Well-Differentiated Thyroid Cancer,9.105934691546649,Other
ACH-000901,0.021160281648748364,HCC1359,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.388706169226381,Other
ACH-000900,0.12421919383038209,NCIH23,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.074248523347032,Other
ACH-000899,0.13564151753639705,WM88,Melanoma,Skin,Melanoma,7.761351767728966,Other
ACH-000898,0.11743930859077757,SNU719,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,5.461724991502711,Other
ACH-000896,0.21066778538256414,647V,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,5.904965718684027,Other
ACH-000959,0.05690543419349665,SNUC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.620879611355415,Other
ACH-000890,0.005560994104464895,SW1271,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.922197848396367,Other
ACH-000889,0.19311020573900278,KMM1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.5049381316496095,Other
ACH-000888,0.03372617005491467,NCIH1793,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.0668426403414415,Other
ACH-000887,0.19017886284580166,SF172,Diffuse Glioma,CNS/Brain,Diffuse Glioma,7.332976400292911,Other
ACH-000886,0.09007661969658873,NCIH2009,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.532239024263147,Other
ACH-000885,0.1636110292360689,TOV21G,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,8.345449602532188,Other
ACH-000884,-0.059406786714901974,MDAMB435S,Melanoma,Skin,Melanoma,5.117695042669754,Other
ACH-000882,0.09610672809809462,IGR1,Melanoma,Skin,Melanoma,6.7113572383412965,Other
ACH-001054,0.36363191049928273,D458,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.695437110405369,Other
ACH-001099,0.1817772313393674,KD,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,5.207502459258789,Other
ACH-001098,0.04169195539114551,KCIMOH1,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.934044647112246,Other
ACH-001096,0.1256599732748439,JR,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.711219556894335,Other
ACH-001075,0.05694392252861911,NCIH292,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.280956313831056,Other
ACH-001067,-0.024561562019340413,F5,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,5.997744026059632,Other
ACH-001065,-0.19609298314541806,EVSAT,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-001063,0.13764444717660712,DOV13,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-001061,0.09975205538354141,DLD1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.728464765092534,Other
ACH-001107,-0.025204145337474837,KP1N,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,,Other
ACH-001053,0.41879653563015745,D425,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.319039815562536,Other
ACH-001050,-0.0585075853479189,CW9019,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,6.984019633085816,Other
ACH-001048,0.21698071756146758,COV504,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.527320607877047,Other
ACH-001041,0.14690223855844925,CHL1DM,Melanoma,Skin,Melanoma,6.062639828286463,Other
ACH-001039,0.04714090121132365,COLO205,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-001038,0.2926083225236172,COGE352,Ewing Sarcoma,Bone,Ewing Sarcoma,5.467931546026287,Other
ACH-001036,-0.0022841568049623284,CMK115,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.035623909730721,Other
ACH-001033,0.42391312842368584,CHLA57,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.881664619320345,Other
ACH-001151,0.0623128535317159,OVCAR5,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.986865972329115,Other
ACH-001192,-0.007467428489516398,SKNEP1,Ewing Sarcoma,Bone,Ewing Sarcoma,5.233044401265581,Other
ACH-001190,-0.05450699383475109,SKMEL2,Melanoma,Skin,Melanoma,6.5505928897043,Other
ACH-001188,0.034884330063646565,SHSY5Y,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,6.051154549878513,Other
ACH-001184,0.2505423690051054,SCMCRM2,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.476705706668179,Other
ACH-001183,0.1433329101218771,RT11284,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,7.508903979000674,Other
ACH-001172,0.042231061399326274,U251MGDM,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.779259720372376,Other
ACH-001164,0.05337765436097773,CCLFPEDS0003T,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,Soft Tissue,Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma,4.999098033705607,Other
ACH-001163,0.3379803206441832,CCLFPEDS0001T,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,7.914325330085303,Other
ACH-001031,0.1745660714589278,CHLA266,Embryonal Tumor,CNS/Brain,Embryonal Tumor,5.73633427697511,Other
ACH-001145,0.20420826582408386,OC316,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.480426705191877,Other
ACH-001137,0.2940103244019831,NCIH1993,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-001134,0.22939887629792122,MYLA,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,4.3826672527450405,Other
ACH-001129,-0.01597803105490396,MONOMAC1,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.186659017202113,Other
ACH-001128,0.010353012748091125,MON,Rhabdoid Cancer,Soft Tissue,Rhabdoid Cancer,5.237640195035385,Other
ACH-001126,0.026641566759808888,MOGGUVW,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-001119,0.0850240506191281,MAC2A,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms,5.710668699674626,Other
ACH-001111,-0.14190713035866453,L82,Mature T and NK Neoplasms,Lymphoid,Mature T and NK Neoplasms,3.956056652412403,Other
ACH-000970,0.3288913048762122,SNUC5,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.346070440785166,Other
ACH-000978,-0.0508374803020815,EN,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.731454807698346,Other
ACH-000977,0.12692800721102676,LNCAPCLONEFGC,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,5.820689560559215,Other
ACH-000976,0.009693658160385588,HUCCT1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,7.026800059343715,Other
ACH-000975,-0.039726483999213344,HCC2450,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.911451911626604,Other
ACH-000974,0.11708200235755699,SNGM,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,7.102973004241397,Other
ACH-000973,0.10840945027525939,639V,Urethral Cancer,Bladder/Urinary Tract,Urethral Cancer,6.2389778817708965,Other
ACH-000972,0.19246176223051575,HEC151,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,7.365272599764531,Other
ACH-000971,0.14940586606805037,HCT116,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.6940444130862025,Other
ACH-000979,0.08666009718632828,DU145,Prostate Adenocarcinoma,Prostate,Prostate Adenocarcinoma,,Other
ACH-000969,0.17781709303410517,KM12,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.2509615735332185,Other
ACH-000968,0.021937451582304993,COLO792,Melanoma,Skin,Melanoma,4.346956889378885,Other
ACH-000966,0.2740288294413767,IGROV1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,7.259649120649155,Other
ACH-000965,0.09616830474375582,RL952,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,5.930500810791164,Other
ACH-000963,0.0980439449013895,CCK81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.37364821133469,Other
ACH-000962,-0.003282553801561214,OC314,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,5.71918344048179,Other
ACH-000961,0.15922406748346662,ISHIKAWAHERAKLIO02ER,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.216066783087033,Other
ACH-000960,0.04155991996411563,REH,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.515384460636948,Other
ACH-000993,-0.16131951836777952,JHUEM7,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,8.022589749040105,Other
ACH-001029,0.03978217958595173,CHLA10,Ewing Sarcoma,Bone,Ewing Sarcoma,6.34801990922869,Other
ACH-001028,0.17661753445676504,CHLA06ATRT,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.165911938935689,Other
ACH-001020,0.08208586817810402,BT16,Embryonal Tumor,CNS/Brain,Embryonal Tumor,4.982765462583646,Other
ACH-001016,0.317818386077408,BECKER,Diffuse Glioma,CNS/Brain,Diffuse Glioma,6.421391631882804,Other
ACH-001001,0.11316744905631217,143B,Osteosarcoma,Bone,Osteosarcoma,5.966707314150316,Other
ACH-000997,-0.11975275111144777,HCT15,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.163096138436012,Other
ACH-000996,0.2719517914718901,HEC251,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.127014141582809,Other
ACH-000995,0.10834351180256528,JURKAT,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,4.978195629681651,Other
ACH-001556,0.03826647236025442,MERO25,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,6.255878352582786,Other
ACH-000991,0.18223657976727708,SNU81,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.943921326553485,Other
ACH-000988,-0.0173966165077213,MFE319,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.640967910449898,Other
ACH-000986,0.003479876863024964,HT115,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.726286289720674,Other
ACH-000985,-0.08148305847088548,LS411N,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.408372203572677,Other
ACH-000984,0.15546476532464404,HEC6,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,6.242793023597252,Other
ACH-000983,-0.0952618806383947,KCL22,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,5.048323386537814,Other
ACH-000980,0.06525820923321744,NCIH1155,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,5.900142260359816,Other
ACH-002160,0.07870314777962288,MCIXC,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002204,0.01760544879299189,UCH2,Chordoma,Bone,Chordoma,,Other
ACH-002202,0.1501169135803637,TMK1,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002198,0.18569762994706598,SCH,Extra Gonadal Germ Cell Tumor,Other,Extra Gonadal Germ Cell Tumor,,Other
ACH-002186,0.1339735950978333,PL4,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,,Other
ACH-002183,0.35136263567129894,OVMIU,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002181,0.04838510450529461,OVCA420,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002179,0.16315196463405263,OCUBM,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma,,Other
ACH-002161,0.004774685776359297,MKN28,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002210,-0.21682572576627746,ARH77,Non-Cancerous,Myeloid,Non-Cancerous,,Other
ACH-002156,0.08825713234276956,LC1SQ,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,,Other
ACH-002150,0.1103007797348443,LB1047RCC,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,,Other
ACH-002143,-0.21292674076818646,ISTMEL1,Melanoma,Skin,Melanoma,,Other
ACH-002141,0.08523041355897432,HSC39,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-002140,0.026070216606587454,HEY,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,,Other
ACH-002119,0.01804214901473858,EW7,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002116,0.1791188813361712,EW22,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002114,-0.09360427596704902,EW16,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002239,0.05664940901778696,H3118,Salivary Carcinoma,Head and Neck,Salivary Carcinoma,,Other
ACH-002263,0.0030954961385303847,KYSE220,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,,Other
ACH-002261,0.20331216756809445,KPNYS,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002257,0.2715304613545067,KINGS1,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002251,0.08080348063330449,JHU029,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002250,0.04453137222176304,JHU022,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002249,0.07338597922126533,JHU011,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002247,-0.03660689410186192,IM9,Non-Cancerous,Myeloid,Non-Cancerous,,Other
ACH-002243,-0.10309656580570038,HCE4,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,,Other
ACH-002110,0.05769160250937162,EW1,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002234,0.004733579445683894,DOK,"Head and Neck Carcinoma, Other",Head and Neck,"Head and Neck Carcinoma, Other",,Other
ACH-002233,0.07648609638829845,DIFI,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,,Other
ACH-002230,0.4921722719942875,D542MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002229,0.08630542751613801,D502MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002228,-0.08463914314293729,D423MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,,Other
ACH-002215,0.5220548178297512,BC3,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,,Other
ACH-002214,0.020935310984630612,BC1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,,Other
ACH-002212,0.07005475393775966,BB30HNC,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002035,0.08425701420947909,LCAM1,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.122258567811998,Other
ACH-002046,0.01657122171900456,HTMMT,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,8.061182151444182,Other
ACH-002045,0.04614719716209176,HO1U1,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.907371413823563,Other
ACH-002044,-0.028878099583707115,HSQ89,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.108315355387719,Other
ACH-002043,-0.05419863027890788,CA922,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,4.606442228131607,Other
ACH-002042,-0.09601830715423378,T3M5,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.659353759170051,Other
ACH-002041,0.10312017091285325,HOTHC,Anaplastic Thyroid Cancer,Thyroid,Anaplastic Thyroid Cancer,8.22982822372908,Other
ACH-002040,-0.0691755395637589,HMVII,Mucosal Melanoma of the Vulva/Vagina,Vulva/Vagina,Mucosal Melanoma of the Vulva/Vagina,5.593652558397931,Other
ACH-002039,0.281296477625328,PK8,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,8.894999604163704,Other
ACH-002048,0.049453516774751426,RMSYM,Rhabdomyosarcoma,Soft Tissue,Rhabdomyosarcoma,5.0522419811811385,Other
ACH-002033,0.0744576803127116,HMMME,Pleural Mesothelioma,Pleura,Pleural Mesothelioma,5.266411766036114,Other
ACH-002030,0.07730523461225278,SA3,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002029,0.14845705784466232,SAS,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,6.535275376620803,Other
ACH-002027,0.22526106487902425,HOUAI,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,3.906890595608519,Other
ACH-002026,0.18261949539204814,HHUA,Endometrial Carcinoma,Uterus,Endometrial Carcinoma,7.537218400538596,Other
ACH-002025,-0.0687213980769235,TT1TKB,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.208283138412519,Other
ACH-002024,-0.013693574821061386,ECC4,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.865918814552212,Other
ACH-002023,-0.0037445607334552072,TGBC18TKB,Ampullary Carcinoma,Ampulla of Vater,Ampullary Carcinoma,8.167317780946595,Other
ACH-002069,0.11130368739602096,HSOS1,Osteosarcoma,Bone,Osteosarcoma,6.525755692829486,Other
ACH-002109,0.5231210817706086,ES8,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002106,0.14823139673823782,ES5,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002105,-0.07974541861779112,ES4,Ewing Sarcoma,Bone,Ewing Sarcoma,,Other
ACH-002084,-0.03647667980153117,MMAC,Melanoma,Skin,Melanoma,5.533563348214512,Other
ACH-002083,0.1481003719833408,NB69,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002080,0.09813345538890735,TN2,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.649328040984784,Other
ACH-002077,0.026792151432079137,LU165,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.914564523493939,Other
ACH-002070,-0.051718009563177555,HKBMM,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor,7.29838338558924,Other
ACH-002265,0.033834345225614876,LB771HNC,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-002067,0.11851111996957128,NOS1,Osteosarcoma,Bone,Osteosarcoma,6.44028782084042,Other
ACH-002066,0.044152894850095464,HSSCH2,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,7.262282806420655,Other
ACH-002062,0.11085223458346018,SLVL,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.502075956045791,Other
ACH-002061,-0.16839365308941612,P2URK562,Myeloproliferative Neoplasms,Myeloid,Myeloproliferative Neoplasms,3.372952097911829,Other
ACH-002059,0.12770543430100248,P30OHK,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,5.259272487037594,Other
ACH-002055,0.9822161025148171,TL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,5.115615931428109,Other
ACH-002052,0.49162085803089095,LU139,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,,Other
ACH-002051,0.32424421444859847,LU134A,Lung Neuroendocrine Tumor,Lung,Lung Neuroendocrine Tumor,5.781884234541486,Other
ACH-002834,0.09289885171663563,OS384,Osteosarcoma,Bone,Osteosarcoma,7.642196135763589,Other
ACH-002510,-0.08824897578802994,M040416,Melanoma,Skin,Melanoma,5.03121873061072,Other
ACH-000001,-0.0012052749790230077,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.660352509670921,Other
ACH-003012,0.2595171923363321,A549CRAFKD,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,6.957102041562286,Other
ACH-002928,0.12173796904986722,MM100511,Melanoma,Skin,Melanoma,6.519321734629434,Other
ACH-002926,0.15970289635409518,UPMD1,Ocular Melanoma,Eye,Ocular Melanoma,5.638363505897862,Other
ACH-002925,0.10002354006603469,UPMM3,Ocular Melanoma,Eye,Ocular Melanoma,4.561326136453918,Other
ACH-002922,0.03761587498227568,SKNMM,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,6.35860724911781,Other
ACH-002847,0.08460292764288332,YUHOIN,Melanoma,Skin,Melanoma,6.401391544803525,Other
ACH-000052,0.019249234208838895,A673,Ewing Sarcoma,Bone,Ewing Sarcoma,5.786334980416971,Other
ACH-002800,-0.10590909750566087,NCCMPNST2C1,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,8.18774795576891,Other
ACH-002799,0.033894076831877507,NCCMPNST1C1,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,6.967283907835657,Other
ACH-002785,0.09603825430087981,NCCLMS1C1,Leiomyosarcoma,Soft Tissue,Leiomyosarcoma,7.832826736678783,Other
ACH-000048,0.05660362294819757,TOV112D,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.561326136453918,Other
ACH-000047,0.09391500575491776,GCIY,Esophagogastric Adenocarcinoma,Esophagus/Stomach,Esophagogastric Adenocarcinoma,,Other
ACH-000045,-0.013657841896094633,MV411,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,3.547203024756932,Other
ACH-000042,0.19853296832652248,PANC0203,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,5.965553434987078,Other
ACH-000041,0.09450978859008186,RDES,Ewing Sarcoma,Bone,Ewing Sarcoma,5.178316271701453,Other
ACH-002659,0.050758171592441406,JVE127,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.184677020680892,Other
ACH-002680,0.15250142389809712,170MGBA,Diffuse Glioma,CNS/Brain,Diffuse Glioma,7.543805175964396,Other
ACH-002678,0.3931205498880032,WILL1,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,,Other
ACH-002677,0.25567047131580556,U2946,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms,,Other
ACH-002672,0.025651908520821276,MAPACHS77,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma,7.362820525534263,Other
ACH-002669,0.10160942708500248,KP363T,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,6.4886435398537845,Other
ACH-002664,0.03549601584227244,JVE253,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.123086750981061,Other
ACH-002662,0.1440578353978868,JVE207,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.125981653854716,Other
ACH-002660,0.2786523726516374,JVE187,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.813524689297811,Other
ACH-000040,-0.11354947485624468,U118MG,Diffuse Glioma,CNS/Brain,Diffuse Glioma,8.210768737631664,Other
ACH-002654,-0.14115017472686836,JVE015,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.884842093799463,Other
ACH-002650,0.05690064772417585,ETCC016,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.791748966126011,Other
ACH-002647,0.08917754499685183,CCC5,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,8.040947209947152,Other
ACH-002535,0.14966199868456131,SNU254,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.327328082629952,Other
ACH-002533,-0.038212289505485345,SNU482,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma,8.766164461985994,Other
ACH-000099,0.14506603454141243,SIMA,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,5.853496703702325,Other
ACH-002294,0.053219365818874605,PCI15A,Head and Neck Squamous Cell Carcinoma,Head and Neck,Head and Neck Squamous Cell Carcinoma,,Other
ACH-000037,0.01450307882667809,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS",7.925643446590551,Other
ACH-002710,0.15340555112738866,MPNST724,Nerve Sheath Tumor,Peripheral Nervous System,Nerve Sheath Tumor,7.583834954715431,Other
ACH-000014,0.22231618556526184,HS294T,Melanoma,Skin,Melanoma,7.667182521634752,Other
ACH-000013,-0.00832373804272002,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,6.0693154945400805,Other
ACH-000012,0.2288735185355676,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,7.473868069043629,Other
ACH-000011,0.15849439318574987,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,6.469071952080386,Other
ACH-000009,0.10503503670294148,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,5.625854931368057,Other
ACH-000007,0.03447679798871428,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma,4.343407822297814,Other
ACH-000005,-0.3952827658025273,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,5.533563348214512,Other
ACH-000004,-0.01509936208909854,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia,4.108524456778169,Other
ACH-000015,0.10527479321043165,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer,4.848998430400023,Other
ACH-002291,0.033084497959118,NTERA2CLD1,Non-Seminomatous Germ Cell Tumor,Testis,Non-Seminomatous Germ Cell Tumor,5.72137265947682,Other
ACH-002285,0.1215629373135885,NB7,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002284,0.07454901397615596,NB6,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002283,0.18161731715500298,NB5,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002282,0.10890312574070965,NB17,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
ACH-002280,0.15883886027471167,NB13,Neuroblastoma,Peripheral Nervous System,Neuroblastoma,,Other
